,Species,DNA (FASTA),cDNA (FASTA),CDS (FASTA),ncRNA (FASTA),Protein sequence (FASTA),Annotated sequence (EMBL),Annotated sequence (GenBank),Gene sets,Other annotations,Whole databases,Variation (GVF),Variation (VCF),Variation (VEP),cds_url,dna_url,prot_url
,Acidomyces richmondensis BFW,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw_gca_001592465/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw_gca_001592465/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw_gca_001592465/pep/
,Acidomyces sp. 'richmondensis',FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/acidomyces_sp_richmondensis_gca_001572075/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/acidomyces_sp_richmondensis_gca_001572075/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/acidomyces_sp_richmondensis_gca_001572075/pep/
,Acremonium chrysogenum ATCC 11550,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550_gca_000769265/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550_gca_000769265/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550_gca_000769265/pep/
,Agaricus bisporus var. burnettii JB137-S8,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555/pep/
,Agrocybe aegerita,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/agrocybe_aegerita_gca_902728275/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/agrocybe_aegerita_gca_902728275/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/agrocybe_aegerita_gca_902728275/pep/
,Akanthomyces lecanii RCEF 1005,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/akanthomyces_lecanii_rcef_1005_gca_001636795/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/akanthomyces_lecanii_rcef_1005_gca_001636795/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/akanthomyces_lecanii_rcef_1005_gca_001636795/pep/
,Akanthomyces lecanii str. UM487,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/akanthomyces_lecanii_gca_001653215/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/akanthomyces_lecanii_gca_001653215/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/akanthomyces_lecanii_gca_001653215/pep/
,Allomyces macrogynus ATCC 38327,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/pep/
,Alternaria alternata,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_alternata_gca_004154755/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_alternata_gca_004154755/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_alternata_gca_004154755/pep/
,Alternaria alternata str. SRC1lrK2f,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/alternaria_alternata_gca_001642055/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/alternaria_alternata_gca_001642055/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/alternaria_alternata_gca_001642055/pep/
,Alternaria arborescens,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_arborescens_gca_004154835/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_arborescens_gca_004154835/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_arborescens_gca_004154835/pep/
,Alternaria arborescens,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_arborescens_gca_004154815/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_arborescens_gca_004154815/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_arborescens_gca_004154815/pep/
,Alternaria arborescens,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_arborescens_gca_004155955/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_arborescens_gca_004155955/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_arborescens_gca_004155955/pep/
,Alternaria sp. MG1,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_sp_mg1_gca_003574525/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_sp_mg1_gca_003574525/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_sp_mg1_gca_003574525/pep/
,Alternaria tenuissima,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004154845/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004154845/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004154845/pep/
,Alternaria tenuissima,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004156015/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004156015/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004156015/pep/
,Alternaria tenuissima,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004154765/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004154765/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004154765/pep/
,Alternaria tenuissima,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_tenuissima_gca_004156035/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_tenuissima_gca_004156035/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_tenuissima_gca_004156035/pep/
,Alternaria tenuissima,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004168565/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004168565/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004168565/pep/
,Alternaria tenuissima,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_tenuissima_gca_004154745/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_tenuissima_gca_004154745/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/alternaria_tenuissima_gca_004154745/pep/
,Alternaria tenuissima,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004154735/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004154735/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/alternaria_tenuissima_gca_004154735/pep/
,Amanita muscaria Koide BX008,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008_gca_000827485/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008_gca_000827485/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008_gca_000827485/pep/
,Amanita thiersii Skay4041,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/amanita_thiersii_skay4041_gca_002554575/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/amanita_thiersii_skay4041_gca_002554575/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/amanita_thiersii_skay4041_gca_002554575/pep/
,Amniculicola lignicola CBS 123094,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/amniculicola_lignicola_cbs_123094_gca_010015725/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/amniculicola_lignicola_cbs_123094_gca_010015725/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/amniculicola_lignicola_cbs_123094_gca_010015725/pep/
,Amorphotheca resinae ATCC 22711,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/amorphotheca_resinae_atcc_22711_gca_003019875/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/amorphotheca_resinae_atcc_22711_gca_003019875/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/amorphotheca_resinae_atcc_22711_gca_003019875/pep/
,Ampelomyces quisqualis str. HMLAC05119,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ampelomyces_quisqualis_gca_010094095/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ampelomyces_quisqualis_gca_010094095/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ampelomyces_quisqualis_gca_010094095/pep/
,Amphiamblys sp. WSBS2006,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006_gca_001875675/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006_gca_001875675/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006_gca_001875675/pep/
,Anaeromyces robustus str. S4,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_neocallimastigomycota1_collection/anaeromyces_robustus_gca_002104895/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_neocallimastigomycota1_collection/anaeromyces_robustus_gca_002104895/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_neocallimastigomycota1_collection/anaeromyces_robustus_gca_002104895/pep/
,Anncaliia algerae PRA109,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109_gca_000385855/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109_gca_000385855/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109_gca_000385855/pep/
,Anncaliia algerae PRA339,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra339_gca_000385875/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra339_gca_000385875/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra339_gca_000385875/pep/
,Anthracocystis flocculosa,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/anthracocystis_flocculosa_gca_900322975/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/anthracocystis_flocculosa_gca_900322975/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/anthracocystis_flocculosa_gca_900322975/pep/
,Anthracocystis flocculosa PF-1,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/anthracocystis_flocculosa_pf_1_gca_000417875/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/anthracocystis_flocculosa_pf_1_gca_000417875/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/anthracocystis_flocculosa_pf_1_gca_000417875/pep/
,Antrodiella citrinella str. DSM 108506,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/antrodiella_citrinella_gca_004802725/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/antrodiella_citrinella_gca_004802725/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/antrodiella_citrinella_gca_004802725/pep/
,Apiotrichum porosum str. DSM 27194,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/apiotrichum_porosum_gca_003942205/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/apiotrichum_porosum_gca_003942205/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/apiotrichum_porosum_gca_003942205/pep/
